ts,Temperature,Flow,Pressure,AccumulateFlow
2023-06-14 14:29:22+00:00,27.3,34,4.14,990
2023-06-14 13:50:33+00:00,27.3,60,3.5,260
2023-06-14 13:50:36+00:00,27.3,60,3.5,270
2023-06-14 13:51:08+00:00,27.3,0,3.5,290
2023-06-14 13:50:54+00:00,27.3,58,3.38,280
2023-06-14 14:19:07+00:00,27.3,0,1.76,910
2023-06-14 14:28:02+00:00,27.3,42,4.31,950
2023-06-14 14:29:08+00:00,27.3,0,4.31,980
2023-06-14 14:27:51+00:00,27.3,26,4.32,940
2023-06-14 13:51:46+00:00,27.3,0,3.43,310
2023-06-14 14:14:57+00:00,27.3,31,3.43,880
2023-06-14 14:15:16+00:00,27.3,65,4.91,890
2023-06-14 14:17:31+00:00,27.3,0,1.8,910
2023-06-14 14:17:35+00:00,27.3,0,1.8,910
2023-06-14 14:17:45+00:00,27.3,0,1.8,910
2023-06-14 14:18:04+00:00,27.3,0,1.8,910
2023-06-14 14:18:07+00:00,27.3,0,1.8,910
2023-06-14 14:18:19+00:00,27.3,0,1.8,910
2023-06-14 14:18:26+00:00,27.3,0,1.8,910
2023-06-14 14:18:53+00:00,27.3,22,1.8,910
2023-06-14 14:19:00+00:00,27.3,20,1.8,910
2023-06-14 14:19:06+00:00,27.3,0,1.8,910
2023-06-14 14:19:09+00:00,27.3,0,1.8,910
2023-06-14 14:19:41+00:00,27.3,0,1.8,910
2023-06-14 14:19:46+00:00,27.3,0,1.8,910
2023-06-14 14:19:49+00:00,27.3,0,1.8,910
2023-06-14 14:20:19+00:00,27.3,0,1.8,920
2023-06-14 13:50:50+00:00,27.3,0,3.49,280
2023-06-14 13:51:43+00:00,27.3,0,3.49,310
2023-06-14 14:28:12+00:00,27.3,26,4.24,950
2023-06-14 14:19:38+00:00,27.3,0,1.81,910
2023-06-14 14:19:39+00:00,27.3,0,1.81,910
2023-08-07 08:57:35+00:00,27.3,52,5.0,12
2023-08-04 13:38:46+00:00,33.1,35,3.8,652
2023-08-07 08:50:59+00:00,33.1,38,3.7,594
2023-06-14 14:10:19+00:00,26.8,72,3.5,750
2023-06-14 14:10:20+00:00,26.8,73,3.5,750
2023-06-14 14:10:33+00:00,26.8,72,3.5,760
2023-06-14 14:10:48+00:00,26.8,73,3.5,770
2023-06-14 14:10:21+00:00,26.8,73,3.51,750
2023-06-14 14:10:25+00:00,26.8,71,3.51,750
2023-06-14 14:10:13+00:00,26.8,59,3.43,740
2023-06-14 14:12:35+00:00,26.8,26,1.62,830
